subscription_id,user_id,plan_type,monthly_fee,payment_method,auto_renew,tenure_months
SUB-200185,SPOT-100185,Premium Student,5.99,Carrier Billing,1,2
SUB-200186,SPOT-100186,Premium Individual,10.99,PayPal,1,3
SUB-200187,SPOT-100187,Premium Family,17.99,PayPal,1,25
SUB-200188,SPOT-100188,Premium Individual,10.99,Credit Card,0,21
SUB-200189,SPOT-100189,Free,0.0,None,0,32
SUB-200190,SPOT-100190,Premium Individual,10.99,Credit Card,1,2
SUB-200191,SPOT-100191,Free,0.0,None,0,8
SUB-200192,SPOT-100192,Premium Family,17.99,Credit Card,1,23
SUB-200193,SPOT-100193,Premium Individual,10.99,Credit Card,1,16
SUB-200194,SPOT-100194,Premium Individual,10.99,Credit Card,1,15
SUB-200195,SPOT-100195,Free,0.0,None,0,31
SUB-200196,SPOT-100196,Premium Individual,10.99,PayPal,1,30
SUB-200197,SPOT-100197,Free,0.0,None,0,7
SUB-200198,SPOT-100198,Premium Individual,10.99,Carrier Billing,1,32
SUB-200199,SPOT-100199,Premium Individual,10.99,PayPal,1,18
SUB-200200,SPOT-100200,Free,0.0,None,0,21
SUB-200201,SPOT-100201,Free,0.0,None,0,20
SUB-200202,SPOT-100202,Premium Duo,14.99,PayPal,1,15
SUB-200203,SPOT-100203,Premium Individual,10.99,PayPal,1,14
SUB-200204,SPOT-100204,Premium Individual,10.99,Credit Card,1,28
SUB-200205,SPOT-100205,Free,0.0,None,0,14
SUB-200206,SPOT-100206,Premium Individual,10.99,Credit Card,1,5
SUB-200207,SPOT-100207,Free,0.0,None,0,29
SUB-200208,SPOT-100208,Premium Individual,10.99,PayPal,1,14
SUB-200209,SPOT-100209,Premium Duo,14.99,PayPal,1,5
SUB-200210,SPOT-100210,Free,0.0,None,0,28
SUB-200211,SPOT-100211,Premium Student,5.99,PayPal,1,11
SUB-200212,SPOT-100212,Free,0.0,None,0,10
SUB-200213,SPOT-100213,Free,0.0,None,0,13
SUB-200214,SPOT-100214,Premium Family,17.99,PayPal,1,16
SUB-200215,SPOT-100215,Free,0.0,None,0,11
SUB-200216,SPOT-100216,Free,0.0,None,0,9
SUB-200217,SPOT-100217,Premium Individual,10.99,Credit Card,1,7
SUB-200218,SPOT-100218,Premium Family,17.99,Credit Card,1,6
SUB-200219,SPOT-100219,Premium Individual,10.99,Credit Card,1,10
SUB-200220,SPOT-100220,Premium Family,17.99,Credit Card,0,19
SUB-200221,SPOT-100221,Premium Individual,10.99,Credit Card,0,11
SUB-200222,SPOT-100222,Free,0.0,None,0,7
SUB-200223,SPOT-100223,Premium Individual,10.99,PayPal,1,22
SUB-200224,SPOT-100224,Free,0.0,None,0,13
SUB-200225,SPOT-100225,Free,0.0,None,0,23
SUB-200226,SPOT-100226,Free,0.0,None,0,11
SUB-200227,SPOT-100227,Free,0.0,None,0,26
SUB-200228,SPOT-100228,Free,0.0,None,0,17
SUB-200229,SPOT-100229,Free,0.0,None,0,11
SUB-200230,SPOT-100230,Free,0.0,None,0,5
SUB-200231,SPOT-100231,Free,0.0,None,0,25
SUB-200232,SPOT-100232,Free,0.0,None,0,17
SUB-200233,SPOT-100233,Premium Family,17.99,Carrier Billing,1,4
SUB-200234,SPOT-100234,Premium Individual,10.99,Credit Card,1,21
SUB-200235,SPOT-100235,Premium Individual,10.99,Credit Card,1,4
SUB-200236,SPOT-100236,Premium Individual,10.99,PayPal,1,20
SUB-200237,SPOT-100237,Premium Individual,10.99,Credit Card,1,4
SUB-200238,SPOT-100238,Free,0.0,None,0,32
SUB-200239,SPOT-100239,Premium Individual,10.99,PayPal,1,16
SUB-200240,SPOT-100240,Premium Duo,14.99,Credit Card,1,25
SUB-200241,SPOT-100241,Premium Individual,10.99,Credit Card,0,26
SUB-200242,SPOT-100242,Premium Duo,14.99,PayPal,1,28
SUB-200243,SPOT-100243,Free,0.0,None,0,33
SUB-200244,SPOT-100244,Premium Duo,14.99,Credit Card,1,8
SUB-200245,SPOT-100245,Premium Individual,10.99,Credit Card,0,28
SUB-200246,SPOT-100246,Premium Individual,10.99,Credit Card,1,3
SUB-200247,SPOT-100247,Premium Individual,10.99,Credit Card,1,21
SUB-200248,SPOT-100248,Free,0.0,None,0,9
SUB-200249,SPOT-100249,Premium Individual,10.99,Credit Card,1,11
SUB-200250,SPOT-100250,Free,0.0,None,0,26
SUB-200251,SPOT-100251,Free,0.0,None,0,6
SUB-200252,SPOT-100252,Free,0.0,None,0,21
SUB-200253,SPOT-100253,Premium Individual,10.99,Credit Card,1,32
SUB-200254,SPOT-100254,Premium Family,17.99,Credit Card,1,24
SUB-200255,SPOT-100255,Premium Individual,10.99,Credit Card,1,26
SUB-200256,SPOT-100256,Free,0.0,None,0,18
SUB-200257,SPOT-100257,Premium Family,17.99,Carrier Billing,1,27
SUB-200258,SPOT-100258,Free,0.0,None,0,8
SUB-200259,SPOT-100259,Free,0.0,None,0,13
SUB-200260,SPOT-100260,Premium Individual,10.99,Carrier Billing,1,32
SUB-200261,SPOT-100261,Free,0.0,None,0,17
SUB-200262,SPOT-100262,Premium Individual,10.99,PayPal,1,18
SUB-200263,SPOT-100263,Free,0.0,None,0,29
SUB-200264,SPOT-100264,Premium Individual,10.99,PayPal,1,25
SUB-200265,SPOT-100265,Free,0.0,None,0,16
SUB-200266,SPOT-100266,Premium Duo,14.99,PayPal,1,16
SUB-200267,SPOT-100267,Premium Student,5.99,Credit Card,1,6
SUB-200268,SPOT-100268,Premium Family,17.99,PayPal,1,2
SUB-200269,SPOT-100269,Free,0.0,None,0,9
SUB-200270,SPOT-100270,Premium Individual,10.99,Carrier Billing,1,5
SUB-200271,SPOT-100271,Premium Student,5.99,Credit Card,1,32
SUB-200272,SPOT-100272,Premium Family,17.99,Gift Card,1,20
SUB-200273,SPOT-100273,Premium Individual,10.99,Credit Card,1,27
SUB-200274,SPOT-100274,Premium Family,17.99,Credit Card,1,28
SUB-200275,SPOT-100275,Free,0.0,None,0,11
SUB-200276,SPOT-100276,Premium Individual,10.99,Credit Card,1,14
SUB-200277,SPOT-100277,Free,0.0,None,0,18
SUB-200278,SPOT-100278,Free,0.0,None,0,16
SUB-200279,SPOT-100279,Free,0.0,None,0,15
SUB-200280,SPOT-100280,Premium Individual,10.99,Credit Card,1,26
SUB-200281,SPOT-100281,Premium Individual,10.99,PayPal,1,28
SUB-200282,SPOT-100282,Free,0.0,None,0,5
SUB-200283,SPOT-100283,Free,0.0,None,0,20
SUB-200284,SPOT-100284,Premium Family,17.99,PayPal,1,23
SUB-200285,SPOT-100285,Free,0.0,None,0,6
SUB-200286,SPOT-100286,Free,0.0,None,0,26
SUB-200287,SPOT-100287,Free,0.0,None,0,28
SUB-200288,SPOT-100288,Free,0.0,None,0,26
SUB-200289,SPOT-100289,Free,0.0,None,0,14
SUB-200290,SPOT-100290,Free,0.0,None,0,12
SUB-200291,SPOT-100291,Free,0.0,None,0,8
SUB-200292,SPOT-100292,Premium Individual,10.99,Credit Card,1,6
SUB-200293,SPOT-100293,Premium Student,5.99,Credit Card,1,12
SUB-200294,SPOT-100294,Free,0.0,None,0,26
SUB-200295,SPOT-100295,Free,0.0,None,0,30
SUB-200296,SPOT-100296,Premium Student,5.99,Credit Card,1,4
SUB-200297,SPOT-100297,Free,0.0,None,0,28
SUB-200298,SPOT-100298,Premium Student,5.99,PayPal,0,32
SUB-200299,SPOT-100299,Premium Individual,10.99,Credit Card,0,28
SUB-200300,SPOT-100300,Premium Duo,14.99,PayPal,1,11
SUB-200301,SPOT-100301,Free,0.0,None,0,29
SUB-200302,SPOT-100302,Premium Student,5.99,Gift Card,1,6
SUB-200303,SPOT-100303,Premium Individual,10.99,PayPal,1,17
SUB-200304,SPOT-100304,Premium Individual,10.99,Credit Card,1,12
SUB-200305,SPOT-100305,Free,0.0,None,0,14
SUB-200306,SPOT-100306,Free,0.0,None,0,7
SUB-200307,SPOT-100307,Premium Student,5.99,Credit Card,1,21
SUB-200308,SPOT-100308,Free,0.0,None,0,29
SUB-200309,SPOT-100309,Premium Individual,10.99,PayPal,1,15
SUB-200310,SPOT-100310,Free,0.0,None,0,2
SUB-200311,SPOT-100311,Premium Individual,10.99,Credit Card,1,10
SUB-200312,SPOT-100312,Free,0.0,None,0,21
SUB-200313,SPOT-100313,Free,0.0,None,0,23
SUB-200314,SPOT-100314,Premium Duo,14.99,Credit Card,1,30
SUB-200315,SPOT-100315,Free,0.0,None,0,3
SUB-200316,SPOT-100316,Premium Family,17.99,Credit Card,1,8
SUB-200317,SPOT-100317,Free,0.0,None,0,9
SUB-200318,SPOT-100318,Premium Individual,10.99,Credit Card,1,6
SUB-200319,SPOT-100319,Free,0.0,None,0,29
SUB-200320,SPOT-100320,Free,0.0,None,0,23
SUB-200321,SPOT-100321,Premium Individual,10.99,Credit Card,1,8
SUB-200322,SPOT-100322,Premium Individual,10.99,Credit Card,1,6
SUB-200323,SPOT-100323,Premium Duo,14.99,PayPal,1,28
SUB-200324,SPOT-100324,Premium Duo,14.99,Credit Card,1,20
SUB-200325,SPOT-100325,Free,0.0,None,0,30
SUB-200326,SPOT-100326,Free,0.0,None,0,9
SUB-200327,SPOT-100327,Premium Family,17.99,PayPal,1,9
SUB-200328,SPOT-100328,Free,0.0,None,0,26
SUB-200329,SPOT-100329,Premium Duo,14.99,PayPal,1,30
SUB-200330,SPOT-100330,Free,0.0,None,0,21
SUB-200331,SPOT-100331,Premium Family,17.99,PayPal,1,27
SUB-200332,SPOT-100332,Free,0.0,None,0,16
SUB-200333,SPOT-100333,Free,0.0,None,0,17
SUB-200334,SPOT-100334,Premium Individual,10.99,PayPal,1,10
SUB-200335,SPOT-100335,Premium Individual,10.99,Credit Card,1,18
SUB-200336,SPOT-100336,Free,0.0,None,0,2
SUB-200337,SPOT-100337,Premium Individual,10.99,Credit Card,1,21
SUB-200338,SPOT-100338,Premium Duo,14.99,Credit Card,1,13
SUB-200339,SPOT-100339,Premium Student,5.99,Carrier Billing,1,33
SUB-200340,SPOT-100340,Premium Duo,14.99,PayPal,1,15
SUB-200341,SPOT-100341,Free,0.0,None,0,16
SUB-200342,SPOT-100342,Free,0.0,None,0,19
SUB-200343,SPOT-100343,Premium Individual,10.99,PayPal,1,11
SUB-200344,SPOT-100344,Premium Student,5.99,Credit Card,1,23
SUB-200345,SPOT-100345,Free,0.0,None,0,24
SUB-200346,SPOT-100346,Free,0.0,None,0,5
SUB-200347,SPOT-100347,Premium Family,17.99,PayPal,1,11
SUB-200348,SPOT-100348,Free,0.0,None,0,6
SUB-200349,SPOT-100349,Premium Individual,10.99,PayPal,1,10
SUB-200350,SPOT-100350,Free,0.0,None,0,8
SUB-200351,SPOT-100351,Premium Student,5.99,Credit Card,1,32
SUB-200352,SPOT-100352,Premium Duo,14.99,Credit Card,1,12
SUB-200353,SPOT-100353,Free,0.0,None,0,20
SUB-200354,SPOT-100354,Premium Individual,10.99,Gift Card,1,9
SUB-200355,SPOT-100355,Premium Duo,14.99,Credit Card,0,8
SUB-200356,SPOT-100356,Premium Individual,10.99,Credit Card,0,6
SUB-200357,SPOT-100357,Premium Individual,10.99,Credit Card,1,14
SUB-200358,SPOT-100358,Premium Individual,10.99,Credit Card,1,2
SUB-200359,SPOT-100359,Premium Individual,10.99,PayPal,1,14
SUB-200360,SPOT-100360,Premium Family,17.99,PayPal,0,26
SUB-200361,SPOT-100361,Free,0.0,None,0,27
SUB-200362,SPOT-100362,Free,0.0,None,0,2
SUB-200363,SPOT-100363,Premium Family,17.99,Credit Card,1,30
SUB-200364,SPOT-100364,Free,0.0,None,0,18
SUB-200365,SPOT-100365,Premium Duo,14.99,Credit Card,0,13
SUB-200366,SPOT-100366,Premium Family,17.99,Carrier Billing,1,19
SUB-200367,SPOT-100367,Free,0.0,None,0,25
SUB-200368,SPOT-100368,Premium Individual,10.99,PayPal,1,12
SUB-200369,SPOT-100369,Free,0.0,None,0,24
SUB-200370,SPOT-100370,Free,0.0,None,0,12
SUB-200371,SPOT-100371,Premium Individual,10.99,PayPal,1,22
SUB-200372,SPOT-100372,Premium Individual,10.99,Carrier Billing,1,21
SUB-200373,SPOT-100373,Free,0.0,None,0,12
SUB-200374,SPOT-100374,Premium Individual,10.99,Gift Card,1,32
SUB-200375,SPOT-100375,Premium Individual,10.99,Credit Card,1,15
SUB-200376,SPOT-100376,Premium Individual,10.99,Credit Card,1,12
SUB-200377,SPOT-100377,Premium Duo,14.99,PayPal,1,30
SUB-200378,SPOT-100378,Premium Family,17.99,PayPal,1,26
SUB-200379,SPOT-100379,Premium Duo,14.99,PayPal,1,8
SUB-200380,SPOT-100380,Free,0.0,None,0,7
SUB-200381,SPOT-100381,Free,0.0,None,0,15
SUB-200382,SPOT-100382,Free,0.0,None,0,12
SUB-200383,SPOT-100383,Premium Individual,10.99,PayPal,0,21
SUB-200384,SPOT-100384,Premium Student,5.99,Credit Card,1,9
SUB-200385,SPOT-100385,Free,0.0,None,0,28
SUB-200386,SPOT-100386,Free,0.0,None,0,13
SUB-200387,SPOT-100387,Free,0.0,None,0,7
SUB-200388,SPOT-100388,Premium Individual,10.99,PayPal,1,30
SUB-200389,SPOT-100389,Premium Family,17.99,Credit Card,1,25
SUB-200390,SPOT-100390,Premium Individual,10.99,Credit Card,1,32
SUB-200391,SPOT-100391,Premium Individual,10.99,PayPal,1,31
SUB-200392,SPOT-100392,Free,0.0,None,0,26
SUB-200393,SPOT-100393,Premium Student,5.99,Credit Card,1,6
SUB-200394,SPOT-100394,Premium Student,5.99,Credit Card,1,14
SUB-200395,SPOT-100395,Free,0.0,None,0,16
SUB-200396,SPOT-100396,Premium Individual,10.99,PayPal,1,23
SUB-200397,SPOT-100397,Free,0.0,None,0,11
SUB-200398,SPOT-100398,Premium Duo,14.99,Credit Card,1,25
SUB-200399,SPOT-100399,Free,0.0,None,0,4
SUB-200400,SPOT-100400,Premium Duo,14.99,Carrier Billing,1,2
SUB-200401,SPOT-100401,Premium Individual,10.99,Credit Card,1,16
SUB-200402,SPOT-100402,Free,0.0,None,0,19
SUB-200403,SPOT-100403,Free,0.0,None,0,7
SUB-200404,SPOT-100404,Free,0.0,None,0,31
SUB-200405,SPOT-100405,Premium Family,17.99,Credit Card,0,32
SUB-200406,SPOT-100406,Free,0.0,None,0,10
SUB-200407,SPOT-100407,Premium Family,17.99,Carrier Billing,1,29
SUB-200408,SPOT-100408,Premium Duo,14.99,Credit Card,1,13
SUB-200409,SPOT-100409,Free,0.0,None,0,2
SUB-200410,SPOT-100410,Free,0.0,None,0,29
SUB-200411,SPOT-100411,Premium Individual,10.99,Credit Card,0,4
SUB-200412,SPOT-100412,Premium Family,17.99,Credit Card,1,26
SUB-200413,SPOT-100413,Premium Duo,14.99,Credit Card,1,20
SUB-200414,SPOT-100414,Premium Individual,10.99,Credit Card,1,25
SUB-200415,SPOT-100415,Premium Individual,10.99,Gift Card,1,15
SUB-200416,SPOT-100416,Premium Individual,10.99,Credit Card,1,12
SUB-200417,SPOT-100417,Premium Family,17.99,PayPal,1,14
SUB-200418,SPOT-100418,Premium Family,17.99,Credit Card,1,10
SUB-200419,SPOT-100419,Free,0.0,None,0,15
SUB-200420,SPOT-100420,Premium Family,17.99,Credit Card,1,31
SUB-200421,SPOT-100421,Premium Family,17.99,Credit Card,1,21
SUB-200422,SPOT-100422,Premium Individual,10.99,PayPal,1,6
SUB-200423,SPOT-100423,Premium Individual,10.99,PayPal,1,2
SUB-200424,SPOT-100424,Premium Duo,14.99,PayPal,0,19
SUB-200425,SPOT-100425,Premium Family,17.99,Credit Card,1,11
SUB-200426,SPOT-100426,Premium Individual,10.99,PayPal,1,30
SUB-200427,SPOT-100427,Premium Individual,10.99,Credit Card,1,26
SUB-200428,SPOT-100428,Free,0.0,None,0,14
SUB-200429,SPOT-100429,Free,0.0,None,0,22
SUB-200430,SPOT-100430,Premium Family,17.99,Credit Card,1,8
