user_id,is_churn,churn_probability_latent,cancellation_reason
SPOT-100065,0,0.3098,Active
SPOT-100066,1,0.5825,Switched to Competitor
SPOT-100067,0,0.1949,Active
SPOT-100068,0,0.2159,Active
SPOT-100069,0,0.4778,Active
SPOT-100070,0,0.5022,Active
SPOT-100071,0,0.237,Active
SPOT-100072,0,0.2974,Active
SPOT-100073,1,0.5692,Too Many Ads
SPOT-100074,1,0.595,Price / Cost
SPOT-100075,0,0.1338,Active
SPOT-100076,0,0.3408,Active
SPOT-100077,0,0.192,Active
SPOT-100078,0,0.2654,Active
SPOT-100079,1,0.6806,Price / Cost
SPOT-100080,1,0.6639,Price / Cost
SPOT-100081,0,0.2807,Active
SPOT-100082,0,0.4521,Active
SPOT-100083,1,0.6395,Switched to Competitor
SPOT-100084,1,0.7562,Too Many Ads
SPOT-100085,0,0.4892,Active
SPOT-100086,0,0.3713,Active
SPOT-100087,1,0.6774,Low Usage / No Time
SPOT-100088,0,0.4845,Active
SPOT-100089,0,0.476,Active
SPOT-100090,0,0.317,Active
SPOT-100091,0,0.4329,Active
SPOT-100092,0,0.4544,Active
SPOT-100093,0,0.2339,Active
SPOT-100094,0,0.2021,Active
SPOT-100095,0,0.2647,Active
SPOT-100096,0,0.3433,Active
SPOT-100097,0,0.4192,Active
SPOT-100098,0,0.3465,Active
SPOT-100099,1,0.6155,Too Many Ads
SPOT-100100,0,0.2383,Active
SPOT-100101,0,0.2949,Active
SPOT-100102,0,0.111,Active
SPOT-100103,1,0.611,Price / Cost
SPOT-100104,0,0.1932,Active
SPOT-100105,0,0.5366,Active
SPOT-100106,0,0.2694,Active
SPOT-100107,0,0.4721,Active
SPOT-100108,0,0.3028,Active
SPOT-100109,1,0.623,Switched to Competitor
SPOT-100110,0,0.3046,Active
SPOT-100111,0,0.4553,Active
SPOT-100112,1,0.6732,Low Usage / No Time
SPOT-100113,0,0.5292,Active
SPOT-100114,1,0.5874,Price / Cost
SPOT-100115,0,0.3838,Active
SPOT-100116,1,0.764,Too Many Ads
SPOT-100117,0,0.2592,Active
SPOT-100118,1,0.6163,Price / Cost
SPOT-100119,1,0.6358,Price / Cost
SPOT-100120,0,0.4653,Active
SPOT-100121,0,0.2244,Active
SPOT-100122,0,0.4873,Active
SPOT-100123,0,0.3238,Active
SPOT-100124,0,0.4415,Active
SPOT-100125,1,0.5924,Too Many Ads
SPOT-100126,1,0.6818,Too Many Ads
SPOT-100127,0,0.3439,Active
SPOT-100128,0,0.4316,Active
SPOT-100129,0,0.3932,Active
SPOT-100130,0,0.4332,Active
SPOT-100131,0,0.4995,Active
SPOT-100132,0,0.4536,Active
SPOT-100133,0,0.2491,Active
SPOT-100134,0,0.2057,Active
SPOT-100135,0,0.465,Active
SPOT-100136,0,0.3985,Active
SPOT-100137,0,0.1285,Active
SPOT-100138,0,0.4099,Active
SPOT-100139,0,0.3604,Active
SPOT-100140,0,0.2218,Active
SPOT-100141,0,0.3865,Active
SPOT-100142,0,0.1616,Active
SPOT-100143,0,0.3612,Active
SPOT-100144,0,0.3238,Active
SPOT-100145,0,0.2283,Active
SPOT-100146,0,0.3993,Active
SPOT-100147,0,0.3068,Active
SPOT-100148,0,0.1752,Active
SPOT-100149,0,0.4892,Active
SPOT-100150,1,0.6196,Switched to Competitor
SPOT-100151,0,0.1673,Active
SPOT-100152,0,0.5681,Active
SPOT-100153,0,0.3475,Active
SPOT-100154,0,0.5149,Active
SPOT-100155,1,0.6874,Low Usage / No Time
SPOT-100156,0,0.4042,Active
SPOT-100157,0,0.4706,Active
SPOT-100158,0,0.1569,Active
SPOT-100159,0,0.3799,Active
SPOT-100160,0,0.369,Active
SPOT-100161,0,0.384,Active
SPOT-100162,0,0.2199,Active
SPOT-100163,0,0.3039,Active
SPOT-100164,0,0.292,Active
SPOT-100165,1,0.587,Price / Cost
SPOT-100166,0,0.3427,Active
SPOT-100167,1,0.6617,Low Usage / No Time
SPOT-100168,0,0.3265,Active
SPOT-100169,0,0.2618,Active
SPOT-100170,0,0.4256,Active
SPOT-100171,0,0.5502,Active
SPOT-100172,0,0.346,Active
SPOT-100173,0,0.4053,Active
SPOT-100174,0,0.425,Active
SPOT-100175,0,0.505,Active
SPOT-100176,0,0.5373,Active
SPOT-100177,0,0.4248,Active
SPOT-100178,0,0.2255,Active
SPOT-100179,0,0.5157,Active
SPOT-100180,0,0.3396,Active
SPOT-100181,0,0.4746,Active
SPOT-100182,0,0.3995,Active
SPOT-100183,1,0.5833,Price / Cost
SPOT-100184,1,0.6698,Low Usage / No Time
SPOT-100185,0,0.4915,Active
SPOT-100186,0,0.3226,Active
SPOT-100187,0,0.2736,Active
SPOT-100188,0,0.4171,Active
SPOT-100189,0,0.3451,Active
SPOT-100190,0,0.5599,Active
SPOT-100191,1,0.5907,Technical Bugs
SPOT-100192,1,0.5954,Price / Cost
SPOT-100193,0,0.3143,Active
SPOT-100194,0,0.2019,Active
SPOT-100195,1,0.571,Too Many Ads
SPOT-100196,0,0.1401,Active
SPOT-100197,0,0.5121,Active
SPOT-100198,0,0.3586,Active
SPOT-100199,0,0.1871,Active
SPOT-100200,0,0.4245,Active
SPOT-100201,1,0.7079,Price / Cost
SPOT-100202,0,0.1618,Active
SPOT-100203,0,0.2615,Active
SPOT-100204,0,0.3688,Active
SPOT-100205,0,0.4356,Active
SPOT-100206,0,0.1642,Active
SPOT-100207,0,0.5579,Active
SPOT-100208,0,0.3621,Active
SPOT-100209,1,0.5854,Price / Cost
SPOT-100210,0,0.5184,Active
SPOT-100211,0,0.4523,Active
SPOT-100212,0,0.417,Active
SPOT-100213,0,0.3354,Active
SPOT-100214,0,0.221,Active
SPOT-100215,0,0.5286,Active
SPOT-100216,0,0.4936,Active
SPOT-100217,0,0.4388,Active
SPOT-100218,0,0.4308,Active
SPOT-100219,0,0.2721,Active
SPOT-100220,0,0.3344,Active
SPOT-100221,0,0.3759,Active
SPOT-100222,0,0.5194,Active
SPOT-100223,0,0.2542,Active
SPOT-100224,0,0.4566,Active
SPOT-100225,0,0.3281,Active
SPOT-100226,0,0.5007,Active
SPOT-100227,0,0.3726,Active
SPOT-100228,1,0.5931,Price / Cost
SPOT-100229,1,0.8009,Price / Cost
SPOT-100230,1,0.6094,Too Many Ads
SPOT-100231,0,0.5482,Active
SPOT-100232,1,0.6623,Price / Cost
SPOT-100233,0,0.3984,Active
SPOT-100234,0,0.3669,Active
SPOT-100235,0,0.1619,Active
SPOT-100236,0,0.297,Active
SPOT-100237,0,0.3626,Active
SPOT-100238,0,0.5654,Active
SPOT-100239,0,0.5,Active
SPOT-100240,0,0.333,Active
SPOT-100241,0,0.2573,Active
SPOT-100242,0,0.2642,Active
SPOT-100243,0,0.4016,Active
SPOT-100244,0,0.518,Active
SPOT-100245,0,0.2669,Active
SPOT-100246,0,0.275,Active
SPOT-100247,0,0.4032,Active
SPOT-100248,0,0.4713,Active
SPOT-100249,0,0.3712,Active
SPOT-100250,0,0.4616,Active
SPOT-100251,1,0.6486,Too Many Ads
SPOT-100252,1,0.6584,Price / Cost
SPOT-100253,0,0.4281,Active
SPOT-100254,0,0.1949,Active
SPOT-100255,0,0.3713,Active
SPOT-100256,0,0.5354,Active
SPOT-100257,0,0.2593,Active
SPOT-100258,0,0.4347,Active
SPOT-100259,0,0.5534,Active
SPOT-100260,0,0.2314,Active
SPOT-100261,0,0.4989,Active
SPOT-100262,0,0.2995,Active
SPOT-100263,1,0.6201,Switched to Competitor
SPOT-100264,0,0.2555,Active
SPOT-100265,0,0.5539,Active
SPOT-100266,0,0.3997,Active
SPOT-100267,0,0.4678,Active
SPOT-100268,0,0.4886,Active
SPOT-100269,1,0.5848,Price / Cost
SPOT-100270,0,0.2252,Active
SPOT-100271,0,0.27,Active
SPOT-100272,0,0.3882,Active
SPOT-100273,0,0.3661,Active
SPOT-100274,0,0.3557,Active
SPOT-100275,1,0.5975,Low Usage / No Time
SPOT-100276,0,0.2514,Active
SPOT-100277,0,0.4001,Active
SPOT-100278,0,0.2748,Active
SPOT-100279,0,0.4951,Active
SPOT-100280,0,0.4127,Active
SPOT-100281,0,0.336,Active
SPOT-100282,0,0.5469,Active
SPOT-100283,0,0.5636,Active
SPOT-100284,0,0.2402,Active
SPOT-100285,0,0.4532,Active
SPOT-100286,0,0.4193,Active
SPOT-100287,1,0.6225,Switched to Competitor
SPOT-100288,1,0.7101,Too Many Ads
SPOT-100289,1,0.7018,Too Many Ads
SPOT-100290,1,0.7308,Price / Cost
SPOT-100291,0,0.4828,Active
SPOT-100292,0,0.3406,Active
SPOT-100293,0,0.4424,Active
SPOT-100294,1,0.6003,Too Many Ads
SPOT-100295,0,0.5672,Active
SPOT-100296,0,0.417,Active
SPOT-100297,1,0.6458,Price / Cost
SPOT-100298,0,0.308,Active
SPOT-100299,0,0.4321,Active
SPOT-100300,0,0.1962,Active
SPOT-100301,1,0.6329,Too Many Ads
SPOT-100302,0,0.4072,Active
SPOT-100303,0,0.457,Active
SPOT-100304,0,0.2878,Active
SPOT-100305,0,0.4023,Active
SPOT-100306,0,0.424,Active
SPOT-100307,0,0.5139,Active
SPOT-100308,0,0.523,Active
SPOT-100309,0,0.458,Active
SPOT-100310,1,0.5868,Switched to Competitor
SPOT-100311,0,0.4114,Active
SPOT-100312,1,0.6369,Price / Cost
SPOT-100313,0,0.5596,Active
SPOT-100314,0,0.1992,Active
SPOT-100315,0,0.5606,Active
SPOT-100316,0,0.2848,Active
SPOT-100317,0,0.5231,Active
SPOT-100318,0,0.3339,Active
SPOT-100319,0,0.45,Active
SPOT-100320,0,0.5104,Active
SPOT-100321,0,0.4885,Active
SPOT-100322,0,0.3195,Active
SPOT-100323,0,0.3138,Active
SPOT-100324,0,0.2472,Active
SPOT-100325,0,0.4701,Active
SPOT-100326,1,0.6957,Price / Cost
SPOT-100327,0,0.2917,Active
SPOT-100328,0,0.3808,Active
SPOT-100329,0,0.2554,Active
SPOT-100330,0,0.5269,Active
SPOT-100331,0,0.4197,Active
SPOT-100332,0,0.3684,Active
SPOT-100333,0,0.4621,Active
SPOT-100334,0,0.4352,Active
SPOT-100335,0,0.4377,Active
SPOT-100336,1,0.7002,Too Many Ads
SPOT-100337,0,0.3237,Active
SPOT-100338,0,0.3783,Active
SPOT-100339,0,0.3827,Active
SPOT-100340,0,0.3673,Active
SPOT-100341,0,0.4986,Active
SPOT-100342,1,0.6663,Price / Cost
SPOT-100343,0,0.4359,Active
SPOT-100344,0,0.3224,Active
SPOT-100345,1,0.6181,Price / Cost
SPOT-100346,1,0.7475,Switched to Competitor
SPOT-100347,0,0.3043,Active
SPOT-100348,0,0.5257,Active
SPOT-100349,0,0.2386,Active
SPOT-100350,0,0.4995,Active
SPOT-100351,0,0.2677,Active
SPOT-100352,0,0.3412,Active
SPOT-100353,0,0.4455,Active
SPOT-100354,0,0.4667,Active
SPOT-100355,0,0.505,Active
SPOT-100356,0,0.5242,Active
SPOT-100357,0,0.1607,Active
SPOT-100358,0,0.195,Active
SPOT-100359,0,0.4117,Active
SPOT-100360,0,0.257,Active
SPOT-100361,0,0.3306,Active
SPOT-100362,0,0.5032,Active
SPOT-100363,0,0.2707,Active
SPOT-100364,0,0.4652,Active
SPOT-100365,0,0.1632,Active
SPOT-100366,0,0.1086,Active
SPOT-100367,0,0.3686,Active
SPOT-100368,0,0.3436,Active
SPOT-100369,0,0.3668,Active
SPOT-100370,0,0.4938,Active
SPOT-100371,0,0.3004,Active
SPOT-100372,0,0.3848,Active
SPOT-100373,0,0.53,Active
SPOT-100374,0,0.3361,Active
SPOT-100375,0,0.2521,Active
SPOT-100376,0,0.2687,Active
SPOT-100377,0,0.2139,Active
SPOT-100378,0,0.2527,Active
SPOT-100379,0,0.376,Active
SPOT-100380,0,0.4856,Active
SPOT-100381,1,0.5729,Price / Cost
SPOT-100382,0,0.4104,Active
SPOT-100383,0,0.5226,Active
SPOT-100384,0,0.4633,Active
SPOT-100385,0,0.4795,Active
SPOT-100386,0,0.5256,Active
SPOT-100387,1,0.5993,Price / Cost
SPOT-100388,0,0.3309,Active
SPOT-100389,0,0.2116,Active
SPOT-100390,0,0.2818,Active
SPOT-100391,0,0.3746,Active
SPOT-100392,0,0.5452,Active
SPOT-100393,0,0.312,Active
SPOT-100394,1,0.6091,Price / Cost
SPOT-100395,0,0.5416,Active
SPOT-100396,0,0.1674,Active
SPOT-100397,0,0.4662,Active
SPOT-100398,0,0.3451,Active
SPOT-100399,1,0.7585,Too Many Ads
SPOT-100400,0,0.3683,Active
SPOT-100401,0,0.3246,Active
SPOT-100402,1,0.6258,Low Usage / No Time
SPOT-100403,0,0.5668,Active
SPOT-100404,0,0.2764,Active
SPOT-100405,0,0.4823,Active
SPOT-100406,1,0.5842,Price / Cost
SPOT-100407,0,0.1642,Active
SPOT-100408,1,0.6419,Price / Cost
SPOT-100409,0,0.2871,Active
SPOT-100410,1,0.6295,Price / Cost
SPOT-100411,0,0.3254,Active
SPOT-100412,0,0.1926,Active
SPOT-100413,0,0.3526,Active
SPOT-100414,0,0.3467,Active
SPOT-100415,0,0.3136,Active
SPOT-100416,0,0.3942,Active
SPOT-100417,0,0.526,Active
SPOT-100418,0,0.2578,Active
SPOT-100419,0,0.5178,Active
SPOT-100420,0,0.189,Active
SPOT-100421,0,0.2315,Active
SPOT-100422,0,0.2028,Active
SPOT-100423,0,0.3492,Active
SPOT-100424,0,0.4055,Active
SPOT-100425,0,0.2442,Active
SPOT-100426,0,0.1865,Active
SPOT-100427,0,0.3809,Active
SPOT-100428,0,0.5332,Active
SPOT-100429,0,0.4339,Active
SPOT-100430,0,0.39,Active
SPOT-100431,0,0.457,Active
SPOT-100432,0,0.4427,Active
SPOT-100433,0,0.2702,Active
SPOT-100434,1,0.7139,Price / Cost
SPOT-100435,1,0.6944,Price / Cost
SPOT-100436,1,0.5926,Too Many Ads
SPOT-100437,0,0.4131,Active
SPOT-100438,0,0.5162,Active
SPOT-100439,0,0.3415,Active
SPOT-100440,0,0.1763,Active
SPOT-100441,0,0.4015,Active
SPOT-100442,0,0.5587,Active
SPOT-100443,1,0.6137,Too Many Ads
SPOT-100444,1,0.5879,Low Usage / No Time
SPOT-100445,0,0.1559,Active
SPOT-100446,0,0.2726,Active
SPOT-100447,0,0.4319,Active
SPOT-100448,0,0.3495,Active
SPOT-100449,1,0.7117,Low Usage / No Time
SPOT-100450,0,0.464,Active
SPOT-100451,0,0.2704,Active
SPOT-100452,0,0.3776,Active
SPOT-100453,0,0.5474,Active
SPOT-100454,0,0.3982,Active
SPOT-100455,0,0.5375,Active
SPOT-100456,1,0.5813,Switched to Competitor
SPOT-100457,1,0.7551,Switched to Competitor
SPOT-100458,0,0.3115,Active
SPOT-100459,0,0.3776,Active
SPOT-100460,0,0.3843,Active
SPOT-100461,1,0.5867,Price / Cost
SPOT-100462,1,0.6339,Too Many Ads
SPOT-100463,0,0.3976,Active
SPOT-100464,0,0.2966,Active
SPOT-100465,0,0.2875,Active
SPOT-100466,1,0.6671,Switched to Competitor
SPOT-100467,0,0.3269,Active
SPOT-100468,0,0.3325,Active
SPOT-100469,0,0.4654,Active
SPOT-100470,0,0.561,Active
SPOT-100471,0,0.3427,Active
SPOT-100472,1,0.5732,Price / Cost
SPOT-100473,0,0.2318,Active
SPOT-100474,0,0.4293,Active
SPOT-100475,0,0.3812,Active
SPOT-100476,0,0.567,Active
SPOT-100477,0,0.4893,Active
SPOT-100478,0,0.2535,Active
SPOT-100479,1,0.5941,Price / Cost
SPOT-100480,0,0.1682,Active
SPOT-100481,1,0.6213,Switched to Competitor
SPOT-100482,0,0.2106,Active
SPOT-100483,0,0.2755,Active
SPOT-100484,0,0.551,Active
SPOT-100485,0,0.4116,Active
SPOT-100486,0,0.2969,Active
SPOT-100487,0,0.3836,Active
SPOT-100488,0,0.3947,Active
SPOT-100489,0,0.4044,Active
SPOT-100490,0,0.2119,Active
SPOT-100491,0,0.4638,Active
SPOT-100492,1,0.7071,Switched to Competitor
SPOT-100493,0,0.5019,Active
SPOT-100494,0,0.4495,Active
SPOT-100495,1,0.6393,Too Many Ads
SPOT-100496,0,0.3959,Active
SPOT-100497,0,0.4637,Active
SPOT-100498,0,0.2676,Active
SPOT-100499,0,0.503,Active
SPOT-100500,0,0.1359,Active
SPOT-100501,0,0.3586,Active
SPOT-100502,0,0.3571,Active
SPOT-100503,0,0.2902,Active
SPOT-100504,0,0.4612,Active
SPOT-100505,0,0.2523,Active
SPOT-100506,0,0.2195,Active
SPOT-100507,1,0.6395,Too Many Ads
SPOT-100508,0,0.2434,Active
SPOT-100509,0,0.4378,Active
SPOT-100510,0,0.1989,Active
SPOT-100511,0,0.2812,Active
SPOT-100512,0,0.2955,Active
SPOT-100513,0,0.4252,Active
SPOT-100514,1,0.6485,Low Usage / No Time
SPOT-100515,0,0.4027,Active
SPOT-100516,0,0.2527,Active
SPOT-100517,1,0.7042,Too Many Ads
SPOT-100518,1,0.7394,Price / Cost
SPOT-100519,1,0.692,Price / Cost
SPOT-100520,0,0.3245,Active
SPOT-100521,0,0.3255,Active
SPOT-100522,0,0.5352,Active
SPOT-100523,0,0.3236,Active
SPOT-100524,1,0.7588,Price / Cost
SPOT-100525,1,0.594,Price / Cost
SPOT-100526,0,0.3731,Active
SPOT-100527,0,0.4531,Active
SPOT-100528,0,0.1824,Active
SPOT-100529,0,0.2789,Active
SPOT-100530,0,0.5178,Active
SPOT-100531,0,0.3957,Active
SPOT-100532,0,0.4332,Active
SPOT-100533,0,0.3929,Active
SPOT-100534,0,0.4379,Active
SPOT-100535,0,0.5527,Active
SPOT-100536,0,0.4801,Active
SPOT-100537,0,0.138,Active
SPOT-100538,0,0.3645,Active
SPOT-100539,0,0.3306,Active
SPOT-100540,0,0.2424,Active
SPOT-100541,0,0.4723,Active
SPOT-100542,0,0.209,Active
SPOT-100543,0,0.2588,Active
SPOT-100544,0,0.3688,Active
SPOT-100545,0,0.2105,Active
SPOT-100546,0,0.3681,Active
SPOT-100547,0,0.3543,Active
SPOT-100548,0,0.4787,Active
SPOT-100549,0,0.2684,Active
SPOT-100550,1,0.5683,Switched to Competitor
SPOT-100551,0,0.1816,Active
SPOT-100552,0,0.3126,Active
SPOT-100553,1,0.5707,Switched to Competitor
SPOT-100554,0,0.288,Active
SPOT-100555,0,0.532,Active
SPOT-100556,1,0.5714,Too Many Ads
SPOT-100557,0,0.4341,Active
SPOT-100558,1,0.6186,Price / Cost
SPOT-100559,0,0.2193,Active
SPOT-100560,0,0.2887,Active
SPOT-100561,0,0.3597,Active
SPOT-100562,0,0.443,Active
SPOT-100563,0,0.4487,Active
SPOT-100564,0,0.3107,Active
SPOT-100565,0,0.3699,Active
SPOT-100566,0,0.3379,Active
SPOT-100567,0,0.2744,Active
SPOT-100568,0,0.3271,Active
SPOT-100569,0,0.2974,Active
SPOT-100570,0,0.5634,Active
SPOT-100571,0,0.3272,Active
SPOT-100572,0,0.4601,Active
SPOT-100573,0,0.4535,Active
SPOT-100574,0,0.2073,Active
SPOT-100575,0,0.5066,Active
SPOT-100576,1,0.6184,Low Usage / No Time
SPOT-100577,0,0.3408,Active
SPOT-100578,0,0.2748,Active
SPOT-100579,0,0.3306,Active
SPOT-100580,0,0.4966,Active
SPOT-100581,0,0.3829,Active
SPOT-100582,0,0.5297,Active
SPOT-100583,0,0.5252,Active
SPOT-100584,1,0.6364,Price / Cost
SPOT-100585,0,0.3489,Active
SPOT-100586,0,0.4599,Active
SPOT-100587,1,0.5901,Too Many Ads
SPOT-100588,0,0.5251,Active
SPOT-100589,1,0.6455,Too Many Ads
SPOT-100590,0,0.3986,Active
SPOT-100591,0,0.5021,Active
SPOT-100592,0,0.3776,Active
SPOT-100593,0,0.4562,Active
SPOT-100594,0,0.2783,Active
SPOT-100595,1,0.6474,Low Usage / No Time
SPOT-100596,0,0.5122,Active
SPOT-100597,1,0.6379,Price / Cost
SPOT-100598,1,0.6144,Too Many Ads
SPOT-100599,0,0.3677,Active
SPOT-100600,1,0.7253,Low Usage / No Time
SPOT-100601,1,0.5998,Too Many Ads
SPOT-100602,0,0.2496,Active
SPOT-100603,0,0.4072,Active
SPOT-100604,0,0.5675,Active
SPOT-100605,0,0.2937,Active
SPOT-100606,0,0.0832,Active
SPOT-100607,0,0.4271,Active
SPOT-100608,1,0.6311,Switched to Competitor
SPOT-100609,0,0.3103,Active
SPOT-100610,1,0.6197,Too Many Ads
SPOT-100611,0,0.3588,Active
SPOT-100612,0,0.4247,Active
SPOT-100613,1,0.7133,Price / Cost
SPOT-100614,0,0.4651,Active
SPOT-100615,0,0.2498,Active
SPOT-100616,1,0.6166,Switched to Competitor
SPOT-100617,0,0.2345,Active
SPOT-100618,0,0.2815,Active
SPOT-100619,0,0.3345,Active
SPOT-100620,0,0.2336,Active
SPOT-100621,1,0.7393,Price / Cost
SPOT-100622,0,0.4859,Active
SPOT-100623,0,0.1845,Active
SPOT-100624,0,0.3373,Active
SPOT-100625,0,0.426,Active
SPOT-100626,0,0.5631,Active
SPOT-100627,0,0.2314,Active
SPOT-100628,0,0.3357,Active
SPOT-100629,0,0.1434,Active
SPOT-100630,0,0.3858,Active
SPOT-100631,0,0.412,Active
SPOT-100632,0,0.3411,Active
SPOT-100633,1,0.6543,Price / Cost
SPOT-100634,0,0.4781,Active
SPOT-100635,0,0.2871,Active
SPOT-100636,0,0.2222,Active
SPOT-100637,0,0.3706,Active
SPOT-100638,0,0.2563,Active
SPOT-100639,0,0.3448,Active
SPOT-100640,0,0.4022,Active
SPOT-100641,0,0.4966,Active
SPOT-100642,0,0.3724,Active
SPOT-100643,0,0.4971,Active
SPOT-100644,0,0.211,Active
SPOT-100645,0,0.4579,Active
SPOT-100646,0,0.4207,Active
SPOT-100647,0,0.3915,Active
SPOT-100648,0,0.3516,Active
SPOT-100649,0,0.3145,Active
SPOT-100650,0,0.5256,Active
SPOT-100651,0,0.407,Active
SPOT-100652,1,0.5756,Low Usage / No Time
SPOT-100653,0,0.3133,Active
SPOT-100654,0,0.2263,Active
SPOT-100655,0,0.1637,Active
SPOT-100656,0,0.2102,Active
SPOT-100657,1,0.6407,Low Usage / No Time
SPOT-100658,0,0.5064,Active
SPOT-100659,0,0.3725,Active
SPOT-100660,1,0.6045,Price / Cost
SPOT-100661,0,0.3911,Active
SPOT-100662,0,0.5147,Active
SPOT-100663,0,0.51,Active
SPOT-100664,0,0.5585,Active
SPOT-100665,0,0.4598,Active
SPOT-100666,0,0.3129,Active
SPOT-100667,0,0.4949,Active
SPOT-100668,0,0.247,Active
SPOT-100669,1,0.6396,Switched to Competitor
SPOT-100670,0,0.3042,Active
SPOT-100671,0,0.1799,Active
SPOT-100672,0,0.5188,Active
SPOT-100673,1,0.6455,Too Many Ads
SPOT-100674,0,0.3278,Active
SPOT-100675,1,0.6105,Price / Cost
SPOT-100676,0,0.4867,Active
SPOT-100677,0,0.2808,Active
SPOT-100678,0,0.4845,Active
SPOT-100679,0,0.2227,Active
SPOT-100680,0,0.4535,Active
SPOT-100681,0,0.1693,Active
SPOT-100682,0,0.4457,Active
SPOT-100683,1,0.6854,Too Many Ads
SPOT-100684,1,0.5944,Too Many Ads
SPOT-100685,1,0.5957,Too Many Ads
SPOT-100686,0,0.3609,Active
SPOT-100687,0,0.314,Active
SPOT-100688,0,0.4194,Active
SPOT-100689,1,0.5705,Price / Cost
SPOT-100690,0,0.5439,Active
SPOT-100691,0,0.4377,Active
SPOT-100692,0,0.4734,Active
SPOT-100693,0,0.3978,Active
SPOT-100694,0,0.4603,Active
SPOT-100695,0,0.51,Active
SPOT-100696,0,0.4305,Active
SPOT-100697,0,0.1847,Active
SPOT-100698,0,0.3852,Active
SPOT-100699,0,0.2652,Active
SPOT-100700,0,0.2174,Active
SPOT-100701,0,0.3796,Active
SPOT-100702,0,0.2405,Active
SPOT-100703,0,0.1315,Active
SPOT-100704,0,0.3575,Active
SPOT-100705,0,0.2489,Active
SPOT-100706,1,0.6136,Too Many Ads
SPOT-100707,0,0.3101,Active
SPOT-100708,0,0.3415,Active
SPOT-100709,1,0.6854,Too Many Ads
SPOT-100710,0,0.4101,Active
SPOT-100711,0,0.3766,Active
SPOT-100712,0,0.5672,Active
SPOT-100713,1,0.7466,Low Usage / No Time
SPOT-100714,0,0.2938,Active
SPOT-100715,0,0.493,Active
SPOT-100716,0,0.3937,Active
SPOT-100717,0,0.4422,Active
SPOT-100718,0,0.4807,Active
SPOT-100719,0,0.5365,Active
SPOT-100720,0,0.4379,Active
SPOT-100721,1,0.6303,Price / Cost
SPOT-100722,0,0.4382,Active
SPOT-100723,0,0.2184,Active
SPOT-100724,0,0.3072,Active
SPOT-100725,1,0.6211,Price / Cost
SPOT-100726,0,0.4649,Active
SPOT-100727,0,0.364,Active
SPOT-100728,0,0.4476,Active
SPOT-100729,0,0.5066,Active
SPOT-100730,0,0.429,Active
SPOT-100731,0,0.1295,Active
SPOT-100732,0,0.1002,Active
SPOT-100733,0,0.4508,Active
SPOT-100734,0,0.305,Active
SPOT-100735,0,0.3475,Active
SPOT-100736,0,0.4057,Active
SPOT-100737,0,0.5441,Active
SPOT-100738,0,0.5627,Active
SPOT-100739,0,0.3517,Active
SPOT-100740,0,0.3256,Active
