user_id,preferred_device,avg_daily_listening_hours,avg_daily_tracks,avg_daily_skips,skip_rate,weekly_ads_listened,podcast_share,playlists_created,active_days_last_30d
SPOT-100110,Desktop,4.1,73,45,0.6251,0,0.409,3,19
SPOT-100111,Mobile,0.73,13,5,0.4433,0,0.157,5,26
SPOT-100112,Mobile,2.25,40,30,0.7696,70,0.346,2,12
SPOT-100113,Mobile,2.27,40,21,0.5347,71,0.181,1,25
SPOT-100114,Desktop,0.3,5,2,0.4252,9,0.588,3,12
SPOT-100115,Mobile,3.27,58,12,0.2156,0,0.275,9,22
SPOT-100116,Mobile,0.72,12,9,0.7627,22,0.254,1,11
SPOT-100117,Mobile,2.76,49,15,0.3063,0,0.119,16,25
SPOT-100118,Connected Car,2.08,37,15,0.4216,65,0.474,1,12
SPOT-100119,Mobile,0.57,10,3,0.3217,18,0.093,0,11
SPOT-100120,Desktop,2.02,36,10,0.285,0,0.171,5,25
SPOT-100121,Mobile,2.42,43,7,0.1853,0,0.087,15,26
SPOT-100122,Mobile,3.39,60,36,0.6133,106,0.466,3,21
SPOT-100123,Mobile,1.89,34,7,0.2083,59,0.159,4,24
SPOT-100124,Web Player,2.86,51,13,0.2615,90,0.053,2,25
SPOT-100125,Smart Speaker,5.1,91,21,0.2311,160,0.281,4,9
SPOT-100126,Mobile,0.63,11,6,0.5691,19,0.241,3,9
SPOT-100127,Smart Speaker,2.39,43,12,0.2877,0,0.148,5,21
SPOT-100128,Mobile,4.77,85,72,0.856,150,0.001,1,23
SPOT-100129,Desktop,2.98,53,16,0.3035,93,0.222,3,23
SPOT-100130,Connected Car,2.9,52,34,0.6671,0,0.072,6,23
SPOT-100131,Desktop,3.69,66,19,0.2948,116,0.035,1,23
SPOT-100132,Mobile,1.37,24,10,0.4542,43,0.083,2,21
SPOT-100133,Desktop,2.66,47,2,0.0431,0,0.215,9,26
SPOT-100134,Desktop,2.84,51,0,0.0144,0,0.344,5,22
SPOT-100135,Mobile,3.55,63,18,0.2979,111,0.046,1,22
SPOT-100136,Mobile,2.27,40,6,0.1507,0,0.453,6,22
SPOT-100137,Mobile,5.81,104,5,0.0494,0,0.038,6,19
SPOT-100138,Mobile,1.52,27,9,0.3537,0,0.619,6,23
SPOT-100139,Mobile,2.88,51,10,0.2141,0,0.8,3,19
SPOT-100140,Connected Car,2.17,39,6,0.1746,0,0.086,7,17
SPOT-100141,Mobile,5.13,92,33,0.3589,0,0.238,6,24
SPOT-100142,Mobile,4.58,82,15,0.1945,0,0.461,7,18
SPOT-100143,Desktop,6.19,111,24,0.2221,0,0.148,4,25
SPOT-100144,Mobile,1.98,35,5,0.1616,0,0.412,2,26
SPOT-100145,Mobile,6.47,116,19,0.1683,0,0.434,4,25
SPOT-100146,Mobile,1.24,22,13,0.5966,0,0.196,9,24
SPOT-100147,Smart Speaker,2.65,47,17,0.3696,0,0.148,9,22
SPOT-100148,Smart Speaker,5.42,97,3,0.0343,0,0.309,5,22
SPOT-100149,Desktop,3.18,57,13,0.2301,0,0.36,5,22
SPOT-100150,Desktop,1.13,20,7,0.3644,35,0.503,3,10
SPOT-100151,Mobile,6.18,111,26,0.2345,0,0.176,5,24
SPOT-100152,Desktop,2.36,42,10,0.2577,0,0.195,3,21
SPOT-100153,Mobile,2.5,45,7,0.1743,78,0.469,5,23
SPOT-100154,Mobile,1.77,31,10,0.336,55,0.327,2,22
SPOT-100155,Mobile,0.92,16,6,0.4099,28,0.087,1,13
SPOT-100156,Mobile,1.87,33,17,0.5241,0,0.733,2,23
SPOT-100157,Mobile,1.75,31,5,0.1617,0,0.075,6,23
SPOT-100158,Mobile,7.05,126,26,0.2086,0,0.371,3,21
SPOT-100159,Desktop,2.41,43,14,0.3427,0,0.331,5,25
SPOT-100160,Web Player,1.8,32,4,0.1295,0,0.076,3,19
SPOT-100161,Desktop,1.67,30,10,0.3491,0,0.218,5,23
SPOT-100162,Smart Speaker,3.73,67,3,0.0588,0,0.189,8,26
SPOT-100163,Smart Speaker,1.58,28,12,0.4409,0,0.257,5,23
SPOT-100164,Mobile,2.63,47,15,0.3373,0,0.239,2,22
SPOT-100165,Connected Car,3.69,66,23,0.3627,0,0.209,4,9
SPOT-100166,Mobile,5.32,95,74,0.7843,167,0.8,6,24
SPOT-100167,Desktop,0.92,16,10,0.6289,28,0.435,0,13
SPOT-100168,Mobile,3.49,62,7,0.1241,0,0.719,2,21
SPOT-100169,Smart Speaker,3.94,71,6,0.091,0,0.097,6,19
SPOT-100170,Smart Speaker,4.11,73,34,0.4682,129,0.309,2,20
SPOT-100171,Mobile,4.28,77,37,0.4895,134,0.289,2,24
SPOT-100172,Desktop,1.57,28,14,0.5345,0,0.057,9,22
SPOT-100173,Mobile,1.22,21,6,0.3006,0,0.342,11,23
SPOT-100174,Mobile,0.4,7,2,0.2995,0,0.663,5,25
SPOT-100175,Mobile,2.18,39,20,0.5315,0,0.404,7,25
SPOT-100176,Mobile,2.34,42,22,0.5388,73,0.576,2,25
SPOT-100177,Mobile,0.83,14,2,0.1899,0,0.208,8,24
SPOT-100178,Mobile,2.28,41,9,0.2378,0,0.225,6,25
SPOT-100179,Desktop,0.7,12,2,0.2337,0,0.411,8,25
SPOT-100180,Mobile,0.69,12,2,0.2293,0,0.552,6,24
SPOT-100181,Desktop,1.25,22,3,0.1429,39,0.235,2,21
SPOT-100182,Mobile,3.41,61,25,0.4101,0,0.126,2,20
SPOT-100183,Mobile,2.48,44,30,0.6882,78,0.014,1,12
SPOT-100184,Mobile,2.37,42,10,0.2451,74,0.117,0,7
SPOT-100185,Mobile,3.03,54,22,0.421,0,0.113,6,21
SPOT-100186,Mobile,2.05,36,11,0.3149,0,0.075,7,22
SPOT-100187,Mobile,5.64,101,47,0.4663,0,0.01,5,24
SPOT-100188,Mobile,1.67,30,4,0.1441,0,0.304,7,23
SPOT-100189,Smart Speaker,1.48,26,5,0.2052,46,0.8,3,23
SPOT-100190,Desktop,2.93,52,7,0.1511,0,0.17,5,22
SPOT-100191,Connected Car,1.39,24,5,0.2495,43,0.059,1,8
SPOT-100192,Web Player,0.67,12,6,0.5189,0,0.274,2,12
SPOT-100193,Mobile,0.72,13,1,0.1118,0,0.216,10,21
SPOT-100194,Mobile,2.51,45,17,0.3972,0,0.055,9,23
SPOT-100195,Desktop,1.36,24,0,0.0388,42,0.008,3,9
SPOT-100196,Mobile,5.12,92,13,0.1519,0,0.576,6,21
SPOT-100197,Mobile,2.67,48,7,0.1632,84,0.044,0,25
SPOT-100198,Smart Speaker,2.6,46,16,0.3555,0,0.119,6,23
SPOT-100199,Web Player,6.07,109,26,0.2469,0,0.306,4,23
SPOT-100200,Smart Speaker,4.54,81,46,0.5745,143,0.306,5,20
SPOT-100201,Desktop,2.61,46,28,0.6129,82,0.503,0,11
SPOT-100202,Smart Speaker,6.98,125,29,0.2326,0,0.208,9,24
SPOT-100203,Mobile,7.6,136,48,0.3546,0,0.589,3,21
SPOT-100204,Desktop,3.51,63,17,0.2733,0,0.222,2,25
SPOT-100205,Desktop,1.48,26,3,0.1349,46,0.367,3,24
SPOT-100206,Mobile,6.03,108,5,0.0503,0,0.433,8,24
SPOT-100207,Mobile,3.52,63,52,0.8279,110,0.58,1,24
SPOT-100208,Desktop,2.92,52,8,0.1653,0,0.061,5,24
SPOT-100209,Mobile,1.46,26,15,0.5909,0,0.387,4,13
SPOT-100210,Mobile,1.47,26,7,0.3001,46,0.127,2,23
SPOT-100211,Mobile,2.92,52,13,0.2536,0,0.058,3,20
SPOT-100212,Smart Speaker,2.94,52,5,0.106,92,0.282,0,24
SPOT-100213,Connected Car,4.26,76,5,0.077,134,0.079,2,21
SPOT-100214,Web Player,5.03,90,19,0.2148,0,0.315,4,20
SPOT-100215,Mobile,2.74,49,12,0.2469,86,0.436,0,23
SPOT-100216,Mobile,3.55,63,40,0.6355,111,0.172,2,24
SPOT-100217,Mobile,2.87,51,10,0.2107,0,0.322,7,12
SPOT-100218,Mobile,2.06,37,5,0.141,0,0.241,9,25
SPOT-100219,Mobile,1.71,30,8,0.2818,0,0.292,5,22
SPOT-100220,Smart Speaker,2.5,44,17,0.4087,0,0.211,3,22
SPOT-100221,Desktop,4.29,77,8,0.1077,0,0.549,5,24
SPOT-100222,Mobile,0.98,17,8,0.5293,30,0.042,3,20
SPOT-100223,Mobile,2.09,37,6,0.1666,0,0.178,8,18
SPOT-100224,Desktop,2.22,39,7,0.1999,69,0.522,1,18
SPOT-100225,Web Player,4.27,76,7,0.0975,134,0.566,1,22
SPOT-100226,Mobile,1.0,18,5,0.2861,31,0.371,2,20
SPOT-100227,Mobile,4.13,74,20,0.2737,130,0.106,0,22
SPOT-100228,Connected Car,2.77,49,18,0.3771,87,0.406,7,8
SPOT-100229,Mobile,0.57,10,6,0.6626,17,0.134,1,13
SPOT-100230,Mobile,0.75,13,2,0.1701,23,0.142,2,12
SPOT-100231,Web Player,0.71,12,2,0.2419,22,0.142,2,21
SPOT-100232,Smart Speaker,0.27,4,1,0.2524,8,0.134,0,16
SPOT-100233,Mobile,0.77,13,2,0.2146,0,0.139,4,22
SPOT-100234,Web Player,2.05,36,6,0.1815,0,0.527,8,23
SPOT-100235,Mobile,4.27,76,8,0.1132,0,0.309,4,22
SPOT-100236,Desktop,1.37,24,3,0.1404,0,0.335,4,21
SPOT-100237,Mobile,2.87,51,8,0.1685,0,0.372,6,22
SPOT-100238,Mobile,1.37,24,5,0.2234,43,0.797,0,24
SPOT-100239,Mobile,5.46,98,51,0.5228,0,0.244,5,23
SPOT-100240,Web Player,3.64,65,33,0.5117,0,0.164,6,23
SPOT-100241,Mobile,4.09,73,14,0.1937,0,0.118,7,20
SPOT-100242,Desktop,1.47,26,2,0.0811,0,0.216,5,20
SPOT-100243,Mobile,0.78,14,3,0.2543,24,0.208,1,22
SPOT-100244,Desktop,2.78,49,13,0.266,0,0.32,7,23
SPOT-100245,Mobile,2.71,48,7,0.1619,0,0.332,4,24
SPOT-100246,Mobile,3.05,54,11,0.2216,0,0.082,3,21
SPOT-100247,Mobile,0.95,17,1,0.1173,0,0.098,4,24
SPOT-100248,Mobile,1.28,23,6,0.2679,40,0.27,4,22
SPOT-100249,Mobile,4.18,75,11,0.1511,0,0.453,2,18
SPOT-100250,Mobile,2.9,52,17,0.3312,91,0.236,2,25
SPOT-100251,Smart Speaker,2.17,39,21,0.564,68,0.456,1,13
SPOT-100252,Mobile,0.82,14,5,0.3712,25,0.308,1,9
SPOT-100253,Mobile,2.62,47,22,0.4708,0,0.173,8,22
SPOT-100254,Mobile,7.3,131,26,0.1999,0,0.034,5,28
SPOT-100255,Connected Car,2.55,45,12,0.2777,0,0.255,5,20
SPOT-100256,Web Player,0.82,14,2,0.1473,25,0.349,2,20
SPOT-100257,Mobile,2.62,47,10,0.2139,0,0.32,5,24
SPOT-100258,Mobile,3.65,65,5,0.0895,114,0.49,4,25
SPOT-100259,Mobile,3.5,63,43,0.6893,110,0.332,2,24
SPOT-100260,Smart Speaker,2.07,37,0,0.0172,0,0.08,10,21
SPOT-100261,Mobile,6.27,112,53,0.4734,197,0.243,2,22
SPOT-100262,Mobile,3.24,58,5,0.0879,0,0.496,4,24
SPOT-100263,Desktop,1.57,28,15,0.5531,49,0.51,2,8
SPOT-100264,Mobile,2.97,53,15,0.2999,0,0.046,14,26
SPOT-100265,Desktop,1.74,31,3,0.1277,54,0.693,1,24
SPOT-100266,Mobile,1.26,22,2,0.1159,0,0.067,6,23
SPOT-100267,Mobile,5.2,93,63,0.6834,0,0.112,5,22
SPOT-100268,Desktop,2.22,40,4,0.1053,0,0.293,2,19
SPOT-100269,Mobile,2.66,47,24,0.5296,83,0.566,1,7
SPOT-100270,Desktop,5.4,97,6,0.0688,0,0.142,3,23
SPOT-100271,Desktop,2.9,52,18,0.3526,0,0.064,7,22
SPOT-100272,Web Player,4.25,76,29,0.389,0,0.116,5,22
SPOT-100273,Desktop,1.64,29,4,0.1413,0,0.28,7,23
SPOT-100274,Mobile,5.51,99,28,0.2848,0,0.346,3,22
SPOT-100275,Desktop,2.81,50,15,0.3178,88,0.774,1,11
SPOT-100276,Mobile,3.82,68,15,0.2308,0,0.063,7,23
SPOT-100277,Mobile,2.47,44,4,0.1056,77,0.17,1,19
SPOT-100278,Mobile,4.8,86,37,0.4393,151,0.167,7,26
SPOT-100279,Mobile,5.15,92,33,0.364,162,0.286,0,21
SPOT-100280,Connected Car,2.05,36,14,0.4033,0,0.12,4,24
SPOT-100281,Desktop,2.37,42,3,0.0793,0,0.128,4,24
SPOT-100282,Mobile,1.37,24,0,0.0302,43,0.231,2,23
SPOT-100283,Mobile,1.27,22,3,0.1692,40,0.372,2,24
SPOT-100284,Mobile,4.46,80,9,0.1185,0,0.225,9,19
SPOT-100285,Mobile,2.06,37,13,0.3768,64,0.006,3,23
SPOT-100286,Mobile,2.07,37,5,0.1453,65,0.055,0,21
SPOT-100287,Mobile,1.22,22,5,0.242,38,0.418,2,11
SPOT-100288,Mobile,2.22,40,22,0.5535,70,0.407,2,12
SPOT-100289,Mobile,0.44,7,3,0.5263,13,0.292,0,12
SPOT-100290,Mobile,0.33,5,1,0.378,10,0.638,3,14
SPOT-100291,Smart Speaker,2.59,46,14,0.3187,81,0.379,4,19
SPOT-100292,Desktop,1.5,27,5,0.2202,0,0.254,11,23
SPOT-100293,Mobile,3.69,66,26,0.3997,0,0.073,5,23
SPOT-100294,Mobile,0.91,16,11,0.6915,28,0.277,1,9
SPOT-100295,Smart Speaker,1.72,30,10,0.3475,54,0.193,2,25
SPOT-100296,Mobile,2.02,36,20,0.5801,0,0.191,8,25
SPOT-100297,Mobile,1.22,21,10,0.5037,38,0.056,4,7
SPOT-100298,Desktop,3.18,57,22,0.4014,0,0.372,8,24
SPOT-100299,Desktop,2.68,48,17,0.3661,0,0.235,3,22
SPOT-100300,Desktop,7.9,142,53,0.3749,0,0.217,8,21
SPOT-100301,Mobile,2.01,36,27,0.7681,63,0.8,2,10
SPOT-100302,Connected Car,1.56,28,12,0.4381,0,0.574,3,23
SPOT-100303,Mobile,0.16,2,1,0.5687,0,0.216,9,22
SPOT-100304,Mobile,1.91,34,3,0.1008,0,0.663,5,22
SPOT-100305,Mobile,3.62,65,7,0.1105,114,0.276,3,22
SPOT-100306,Mobile,2.01,36,9,0.269,63,0.191,2,20
SPOT-100307,Mobile,1.57,28,7,0.2657,0,0.066,2,20
SPOT-100308,Desktop,0.4,7,3,0.5105,12,0.267,1,23
SPOT-100309,Mobile,1.15,20,4,0.2392,0,0.163,3,19
SPOT-100310,Desktop,1.82,32,11,0.3742,57,0.125,1,9
SPOT-100311,Mobile,1.32,23,2,0.1248,0,0.349,3,25
SPOT-100312,Desktop,1.22,22,11,0.5279,38,0.028,2,11
SPOT-100313,Mobile,0.23,4,1,0.3124,7,0.291,2,24
SPOT-100314,Mobile,4.48,80,19,0.2496,0,0.217,8,24
SPOT-100315,Desktop,1.03,18,7,0.402,32,0.039,3,27
SPOT-100316,Desktop,4.1,73,20,0.2846,0,0.456,5,24
SPOT-100317,Mobile,1.78,32,7,0.23,56,0.435,2,16
SPOT-100318,Mobile,3.47,62,30,0.4953,0,0.085,10,23
SPOT-100319,Desktop,2.79,50,8,0.1734,88,0.379,3,26
SPOT-100320,Mobile,1.96,35,18,0.5322,61,0.043,5,24
SPOT-100321,Mobile,1.75,31,13,0.4307,0,0.405,6,22
SPOT-100322,Mobile,2.88,51,16,0.3235,0,0.195,7,21
SPOT-100323,Mobile,0.37,6,0,0.1039,0,0.188,3,25
SPOT-100324,Web Player,2.48,44,4,0.1087,0,0.389,8,22
SPOT-100325,Mobile,4.17,75,27,0.3625,131,0.083,3,21
SPOT-100326,Mobile,1.88,33,12,0.3674,59,0.03,2,8
SPOT-100327,Mobile,2.57,46,12,0.2758,0,0.42,9,22
SPOT-100328,Desktop,1.21,21,6,0.3172,38,0.202,2,24
SPOT-100329,Web Player,3.12,56,7,0.1267,0,0.118,6,18
SPOT-100330,Mobile,2.85,51,34,0.6798,89,0.663,1,24
SPOT-100331,Desktop,0.52,9,0,0.0679,0,0.383,4,19
SPOT-100332,Smart Speaker,3.74,67,3,0.0572,117,0.191,0,24
SPOT-100333,Web Player,2.45,44,5,0.1207,77,0.26,4,25
SPOT-100334,Mobile,1.1,19,2,0.1527,0,0.195,6,21
SPOT-100335,Desktop,2.67,47,7,0.1636,0,0.18,2,23
SPOT-100336,Smart Speaker,1.83,32,14,0.4521,57,0.353,1,6
SPOT-100337,Mobile,3.07,55,10,0.1862,0,0.695,6,23
SPOT-100338,Desktop,3.89,70,17,0.2442,0,0.232,3,25
SPOT-100339,Desktop,2.26,40,8,0.2094,0,0.412,7,23
SPOT-100340,Mobile,4.19,75,21,0.2801,0,0.259,7,23
SPOT-100341,Desktop,1.63,29,12,0.4257,51,0.668,4,25
SPOT-100342,Mobile,0.55,9,4,0.511,17,0.037,4,7
SPOT-100343,Mobile,1.7,30,2,0.0799,0,0.079,7,21
SPOT-100344,Mobile,3.2,57,7,0.1357,0,0.315,5,23
SPOT-100345,Mobile,2.65,47,21,0.4637,83,0.29,2,15
SPOT-100346,Mobile,1.05,18,9,0.5053,32,0.191,1,8
SPOT-100347,Smart Speaker,3.31,59,24,0.4232,0,0.134,8,24
SPOT-100348,Mobile,1.25,22,7,0.3332,39,0.466,1,22
SPOT-100349,Desktop,5.43,97,31,0.3295,0,0.538,7,18
SPOT-100350,Desktop,1.72,31,5,0.1801,54,0.384,3,23
SPOT-100351,Desktop,6.3,113,5,0.0468,0,0.225,7,21
SPOT-100352,Mobile,4.33,77,18,0.2353,0,0.159,7,22
SPOT-100353,Desktop,1.29,23,5,0.2424,40,0.593,1,25
SPOT-100354,Mobile,2.28,40,2,0.0736,0,0.112,6,23
SPOT-100355,Desktop,0.98,17,0,0.049,0,0.342,8,24
SPOT-100356,Web Player,3.08,55,15,0.2741,0,0.274,6,27
SPOT-100357,Mobile,5.21,93,1,0.0141,0,0.241,6,21
SPOT-100358,Smart Speaker,4.45,80,24,0.3041,0,0.076,4,25
SPOT-100359,Mobile,3.66,65,23,0.3662,0,0.298,6,21
SPOT-100360,Desktop,3.7,66,25,0.3908,0,0.254,9,18
SPOT-100361,Mobile,3.52,63,28,0.4453,110,0.197,6,25
SPOT-100362,Mobile,2.06,37,14,0.3938,64,0.177,1,21
SPOT-100363,Web Player,3.84,69,11,0.17,0,0.382,5,21
SPOT-100364,Smart Speaker,2.63,47,13,0.2918,82,0.145,2,24
SPOT-100365,Mobile,8.59,154,35,0.2282,0,0.186,6,18
SPOT-100366,Desktop,4.59,82,1,0.0233,0,0.079,8,26
SPOT-100367,Mobile,5.51,99,41,0.4186,173,0.611,2,22
SPOT-100368,Mobile,1.03,18,1,0.0675,0,0.283,9,22
SPOT-100369,Mobile,2.63,47,5,0.113,82,0.29,2,23
SPOT-100370,Mobile,0.93,16,1,0.1214,29,0.685,4,21
SPOT-100371,Mobile,2.45,44,17,0.3895,0,0.205,5,21
SPOT-100372,Smart Speaker,4.64,83,37,0.4506,0,0.28,4,28
SPOT-100373,Web Player,1.23,22,12,0.5645,38,0.435,3,20
SPOT-100374,Mobile,2.07,37,1,0.0417,0,0.8,8,22
SPOT-100375,Mobile,1.6,28,3,0.1231,0,0.301,9,22
SPOT-100376,Mobile,4.87,87,1,0.0144,0,0.033,4,25
SPOT-100377,Mobile,2.52,45,7,0.1746,0,0.422,8,21
SPOT-100378,Mobile,7.58,136,59,0.4356,0,0.184,3,23
SPOT-100379,Mobile,4.98,89,9,0.1045,0,0.014,1,22
SPOT-100380,Mobile,2.18,39,21,0.562,68,0.32,3,20
